epoch,step,train_loss,train_acc,val_loss,val_acc,sav_version
0,459,1.0211355874481285,0.6946497140522871,1.0447421992818515,0.6970279947916665,1
1,918,0.9162464026272427,0.7137064270152506,1.0029887010653813,0.7041243489583332,2
2,1377,0.888107321490909,0.7186163875272327,0.9840730751554171,0.7071419270833332,3
3,1836,0.8729274763780481,0.7223558346949895,0.9712015142043432,0.7087630208333332,4
4,2295,0.8616605595825544,0.7243181508714589,0.9629591976602873,0.7107096354166665,5
5,2754,0.853414694598038,0.7266290509259253,0.9553277865052223,0.7124186197916668,6
6,3213,0.845845094173822,0.72790679466231,0.9489051699638367,0.71421875,7
7,3672,0.8395316261871189,0.7299482570806104,0.9448474571108818,0.7158235677083334,8
8,4131,0.8342587308945999,0.7309114583333326,0.9409547646840414,0.7174283854166665,9
9,4590,0.8298254911676212,0.7322116693899778,0.9378934428095818,0.7176399739583332,10
10,5049,0.8258317550542827,0.7330770016339866,0.934734990199407,0.7182845052083334,11
11,5508,0.8214560427696876,0.7340247140522874,0.9331852445999781,0.7196061197916669,12
12,5967,0.8181062599153041,0.734669968681917,0.9305792798598608,0.7201269531250002,13
13,6426,0.8149767933587883,0.7356661900871464,0.9269786973794302,0.7205989583333333,14
14,6885,0.8125170661473327,0.7363505923202612,0.9260101417700449,0.7211393229166667,15
15,7344,0.8095413081526497,0.7374819580610017,0.9240300531188647,0.7220865885416666,16
16,7803,0.807125422300077,0.7378639025054465,0.9235069081187248,0.7219921875,17
17,8262,0.8051344776984654,0.7381920615468412,0.9225587521990141,0.7227083333333333,18
18,8721,0.8020859072410983,0.7387054057734211,0.9206402326623598,0.7232454427083335,19
19,9180,0.8001262815689469,0.7395074210239655,0.9187189117074013,0.7232096354166666,20
20,9639,0.7980551757324236,0.739760688997822,0.9168663620948792,0.7239518229166667,21
21,10098,0.7969212647616734,0.7402789692265793,0.9167812541127205,0.7244498697916667,22
22,10557,0.7943908743609011,0.7403623706427017,0.9157877614100774,0.7247786458333333,23
23,11016,0.7931465467596366,0.741056985294118,0.9137639204661051,0.7253906250000002,24
24,11475,0.7906679018909895,0.7413991013071888,0.9138671681284904,0.7251302083333334,24
25,11934,0.7896296096263627,0.7417636846405231,0.9141229366262754,0.7253548177083332,24
26,12393,0.7885226616412726,0.741866659858388,0.9105893423159918,0.7262662760416664,25
27,12852,0.7862324331580683,0.7427032271241835,0.9115682939688364,0.7253092447916666,25
28,13311,0.7861354474408434,0.7425422113289762,0.9107515638073286,0.7262434895833333,25
29,13770,0.7830299553268616,0.7437435321350767,0.9088783264160156,0.7263476562499999,26
30,14229,0.7829072709177055,0.7434618395969501,0.9096146946152052,0.7266438802083334,26
31,14688,0.7813499872461124,0.7441135620915035,0.9089011227091154,0.7263802083333335,26
32,15147,0.7802295989979846,0.7439901620370368,0.908219779531161,0.7267317708333333,27
33,15606,0.7791001681149136,0.7444180623638341,0.9061704749862353,0.7267936197916666,28
34,16065,0.7774582261093821,0.7447931985294123,0.9064808314045271,0.7273697916666665,28
35,16524,0.7766059924055029,0.7446951593137249,0.9066620618104935,0.727216796875,28
36,16983,0.7757119483158219,0.7449167687908494,0.9070581868290901,0.7275813802083332,28
37,17442,0.7737475444029099,0.7457563997821347,0.9049723347028097,0.7284049479166667,29
38,17901,0.7726134267637672,0.7463723788126363,0.9052663420637449,0.7276171874999999,29
39,18360,0.7726259249747449,0.7462811478758167,0.906153547267119,0.7276041666666667,29
40,18819,0.7715972337328011,0.7464275258714597,0.9057825406392416,0.7274055989583332,29
41,19278,0.7704761585378959,0.7468212145969506,0.9045811022321383,0.7286067708333334,30
42,19737,0.7682358997839468,0.7474084286492378,0.9040903920928637,0.7276139322916667,31
43,20196,0.768449332069987,0.747199754901961,0.9030189191301664,0.7278548177083334,32
44,20655,0.7681392079345022,0.7469871663943353,0.9023265615105629,0.7285807291666667,33
45,21114,0.766534713358661,0.7475937840413938,0.9025280574957529,0.728203125,33
46,21573,0.7649322568980697,0.747679398148148,0.9029437452554703,0.7290690104166666,33
47,22032,0.7652732859769418,0.7479355596405235,0.9020348563790321,0.7289583333333333,34
48,22491,0.7636588735258397,0.74824771922658,0.9007829104860624,0.7288899739583333,35
49,22950,0.7633434309419204,0.7486754493464047,0.9016897131999334,0.7290397135416667,35
50,23409,0.7627415409015414,0.7486785130718951,0.9009906500577927,0.7289908854166666,35
51,23868,0.7619570433963617,0.7487368940631812,0.9004090949892998,0.7288932291666667,36
52,24327,0.7619851110807432,0.7490316925381261,0.9002195497353872,0.7288151041666668,37
53,24786,0.7598881666956384,0.7490173951525049,0.8999330475926399,0.729208984375,38
54,25245,0.7594522194924698,0.7495062295751638,0.9005722776055336,0.7288085937499998,38
55,25704,0.758449426079108,0.7498801742919388,0.8999602471788725,0.7293880208333333,38
56,26163,0.758251221091659,0.7499974468954242,0.8996688251694044,0.7293261718749999,39
57,26622,0.75719893588999,0.7504129221132901,0.8995150625705719,0.729384765625,40
58,27081,0.7556015903653662,0.7505691721132894,0.8984581107894579,0.7288802083333333,41
59,27540,0.7554067435607411,0.7503412649782131,0.8982457170883814,0.7290787760416665,42
60,27999,0.7548484190616732,0.7506792960239651,0.8986712545156479,0.7296223958333335,42
61,28458,0.7543610604500199,0.7512190223311549,0.8986886938412985,0.7291894531250002,42
62,28917,0.7535640753172581,0.7510409858387795,0.8982459877928098,0.7303287760416666,42
63,29376,0.75345649919219,0.7509691584967323,0.8995390584071478,0.7300227864583334,42
64,29835,0.753008927135426,0.7508888208060995,0.8979859352111816,0.7299576822916666,43
65,30294,0.751104468353953,0.7518547453703696,0.8985953653852145,0.7295279947916665,43
66,30753,0.7508069043065987,0.7517180691721136,0.8983459770679474,0.7297786458333334,43
67,31212,0.7499969266598521,0.7520843545751636,0.8975485091408094,0.7303548177083333,44
68,31671,0.7500649665955105,0.7517522807734192,0.8968322922786077,0.7300000000000001,45
69,32130,0.7488990988347006,0.7523684300108926,0.8974464312195778,0.7302311197916667,45
70,32589,0.7484629613901276,0.7523946418845319,0.8975942904750506,0.7307812499999998,45
71,33048,0.748921447005407,0.7520814610566454,0.8971068188548088,0.7300911458333332,45
72,33507,0.7483442042647883,0.7522560934095859,0.8965746189157168,0.7298893229166667,46
73,33966,0.747610905721037,0.7518632557189535,0.8975495770573616,0.7303027343749998,46
74,34425,0.7465392713453255,0.7531998910675383,0.8969171221057574,0.7303776041666666,46
75,34884,0.7461659100580319,0.7528172657952062,0.8969368984301885,0.7301822916666666,46
76,35343,0.7454071412418922,0.7530826184640533,0.896150233844916,0.7302180989583333,47
77,35802,0.7443076217616046,0.7533964801198256,0.8964974855383238,0.7303352864583333,47
78,36261,0.745160150372125,0.7531295955882354,0.8971173266569773,0.7297070312499998,47
79,36720,0.7431448849327943,0.7537188521241833,0.89512267212073,0.7310611979166666,48
80,37179,0.7431678904427422,0.7537351919934637,0.8960694372653961,0.7301660156249999,48
81,37638,0.7432193099023989,0.7533365672657955,0.8969059536854426,0.7302018229166666,48
82,38097,0.7421616544391075,0.7539515250544672,0.8962476750214895,0.7300325520833333,48
83,38556,0.7420665186734501,0.7540778186274507,0.8967378884553909,0.7309472656249999,48
84,39015,0.741244249224403,0.7537482979302824,0.8965437660614649,0.7305338541666666,48
85,39474,0.7407392798425845,0.7541173066448805,0.8960102299849192,0.7305078125,48
86,39933,0.7405702048397272,0.7540682870370368,0.894714837272962,0.7311783854166665,49
87,40392,0.7395610314568662,0.7546677559912842,0.8950822477539381,0.7304720052083334,49
88,40851,0.7388887774191131,0.7545732911220039,0.8953533321619034,0.7307291666666668,49
89,41310,0.7390739414556873,0.7548112404684096,0.8956854914625486,0.7311621093749997,49
90,41769,0.7382781782181435,0.754837282135076,0.8948316226402918,0.729873046875,49
91,42228,0.737183621766001,0.7549509803921575,0.8946360821525255,0.7301204427083334,50
92,42687,0.7372227369570264,0.7555257693355123,0.8944412618875504,0.7304915364583334,51
93,43146,0.7362953066046721,0.7554600694444442,0.8962286214033762,0.7306282552083331,51
94,43605,0.7361948690123548,0.7557252519063188,0.8953797196348509,0.7308072916666667,51
95,44064,0.7360336700685663,0.7553957312091502,0.8960114071766535,0.7303808593750002,51
96,44523,0.7359633060062633,0.7553594771241836,0.8944756165146828,0.7305696614583334,51
97,44982,0.7359003085716098,0.7559007352941173,0.8949321359395981,0.7308365885416666,51
98,45441,0.7338452401504018,0.7560392837690634,0.8954732169707617,0.7307421874999999,51
99,45900,0.7346430585794719,0.75552355664488,0.8949089596668879,0.731328125,51
100,46359,0.7337078439773818,0.7565749251089328,0.8930682291587194,0.7309375,52
101,46818,0.7334565283945703,0.7559186070261436,0.8942399596174558,0.731025390625,52
102,47277,0.7330241427961778,0.7564722903050103,0.8957549706101418,0.73109375,52
103,47736,0.7322296834589349,0.7564157815904142,0.8948249965906143,0.7309667968750001,52
104,48195,0.7311758724952315,0.7570161015795212,0.8959845478336016,0.7308658854166666,52
105,48654,0.7311373849060541,0.7572324346405224,0.8936492825547854,0.7320345052083334,52
106,49113,0.7313761150785002,0.7567190904139436,0.894568994641304,0.7312272135416666,52
107,49572,0.7313591104187477,0.7569589120370367,0.8944138834873835,0.7312727864583333,52
108,50031,0.7306485268285332,0.7571970315904135,0.894390232861042,0.7316276041666665,52
109,50490,0.7297041277869855,0.7575292755991287,0.8938135504722595,0.7316666666666666,52
110,50949,0.7299934942478188,0.7569003608387794,0.8939071049292883,0.7309277343750002,52
111,51408,0.7294854999627423,0.7573221337145962,0.8952225297689438,0.7313281249999998,52
112,51867,0.7284273162386776,0.7578933483115464,0.8933240796128908,0.7316373697916666,52
